NUMERO,corredor,PRIMERA,CALL13,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,sector,seguridad_empeoro,fue_victima,indice_satisfaccion,obras_iniciadas
1037,2,15.0,,29/10/2024 1:13:03 p. m.,2,1,1.0,1.0,1.0,0,0,100,0,0,4,1,3,4,1,3,3,1,3,4,3,4,4.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,51,4,15,Primera Línea Metro,Micro,1,Comercio,0,0,2.8333333333333335,0
1038,2,15.0,,29/10/2024 2:05:13 p. m.,2,2,2.0,2.0,,0,0,100,0,0,2,1,4,4,3,4,4,2,4,2,4,4,4.0,5,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,4,5,2,27,4,15,Primera Línea Metro,Pequeña,1,Comercio,0,0,3.1666666666666665,0
1039,2,15.0,,29/10/2024 1:53:56 p. m.,2,2,4.0,4.0,4.0,0,0,100,0,0,1,1,5,3,5,1,1,2,3,1,1,5,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,3,5,5,2,23,3,15,Primera Línea Metro,Pequeña,1,Comercio,0,0,2.4166666666666665,0
1040,1,,19.0,29/10/2024 1:12:05 p. m.,2,2,2.0,2.0,,0,0,100,0,0,1,2,2,1,3,1,1,4,2,2,1,5,5.0,2,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,2,56,5,19,Calle 13,Pequeña,1,Comercio,1,0,2.0833333333333335,1
1041,2,15.0,,29/10/2024 2:12:28 p. m.,2,4,7.0,4.0,7.0,10,0,90,0,0,1,1,4,1,1,1,1,1,1,1,1,4,4.0,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,21,2,15,Primera Línea Metro,Grande,0,Comercio,0,1,1.5,0
1042,2,1.0,,29/10/2024 2:32:57 p. m.,3,1,1.0,,24.0,0,70,30,0,0,2,1,4,1,4,2,2,3,1,4,2,4,3.0,3,3,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5,4,1,1,24,4,1,Primera Línea Metro,Micro,1,Servicio,0,1,2.5,1
1043,2,15.0,,29/10/2024 2:37:47 p. m.,2,4,3.0,2.0,2.0,0,0,80,0,20,1,2,2,3,3,2,2,2,2,1,1,3,2.0,2,2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,5,4,1,22,3,15,Primera Línea Metro,Grande,0,Comercio,1,0,2.0,0
1044,2,1.0,,29/10/2024 2:37:41 p. m.,3,1,2.0,1.0,,100,0,0,0,0,2,1,3,1,1,1,3,5,1,5,3,4,5.0,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,2,49,3,1,Primera Línea Metro,Micro,1,Servicio,0,0,2.5,1
1045,2,1.0,,29/10/2024 1:39:23 p. m.,3,1,2.0,1.0,,100,0,0,0,0,2,1,1,3,3,3,1,1,1,3,1,3,3.0,5,3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,3,1,2,60,1,1,Primera Línea Metro,Micro,1,Servicio,0,0,1.9166666666666667,1
1046,2,15.0,,29/10/2024 2:50:05 p. m.,2,2,6.0,3.0,2.0,0,0,50,0,50,1,1,3,1,1,1,1,2,1,1,1,1,5.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,34,4,15,Primera Línea Metro,Pequeña,1,Comercio,1,0,1.25,0
1047,2,1.0,,29/10/2024 2:34:49 p. m.,2,1,2.0,1.0,,100,0,0,0,0,1,4,1,1,1,5,5,1,1,5,4,1,5.0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,2,60,5,1,Primera Línea Metro,Micro,1,Comercio,0,1,2.5,1
1048,2,15.0,,29/10/2024 2:50:07 p. m.,2,2,1.0,1.0,1.0,100,0,0,0,0,1,1,1,3,1,1,1,1,1,1,1,3,5.0,5,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,3,1,70,2,15,Primera Línea Metro,Pequeña,1,Comercio,1,0,1.3333333333333333,0
1049,1,,19.0,29/10/2024 3:04:02 p. m.,2,2,3.0,3.0,,10,0,60,0,30,3,3,4,1,3,1,4,1,3,3,1,4,,5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,2,31,4,19,Calle 13,Pequeña,1,Comercio,0,0,2.5833333333333335,1
1050,2,15.0,,29/10/2024 3:09:00 p. m.,2,1,2.0,1.0,1.0,50,0,50,0,0,1,1,1,1,1,1,1,1,1,2,1,1,3.0,5,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5,5,5,2,46,5,15,Primera Línea Metro,Micro,1,Comercio,1,1,1.0833333333333333,0
1051,1,,19.0,29/10/2024 3:11:46 p. m.,2,3,8.0,1.0,2.0,0,0,0,100,0,2,1,2,3,3,3,5,1,5,4,1,3,5.0,5,2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,31,3,19,Calle 13,Mediana,1,Comercio,1,1,2.75,1
1052,2,1.0,,29/10/2024 3:11:05 p. m.,2,2,1.0,1.0,,0,0,100,0,0,1,1,1,1,2,1,1,1,1,1,1,1,5.0,5,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,3,2,62,2,1,Primera Línea Metro,Pequeña,1,Comercio,1,1,1.0833333333333333,1
1053,2,15.0,,29/10/2024 3:20:48 p. m.,2,2,2.0,2.0,1.0,0,0,100,0,0,1,1,1,1,1,2,4,1,1,1,1,1,,5,3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,57,2,15,Primera Línea Metro,Pequeña,1,Comercio,0,0,1.3333333333333333,0
1054,1,,19.0,29/10/2024 3:27:18 p. m.,2,2,1.0,1.0,,0,0,100,0,0,2,4,4,1,3,2,4,4,4,4,3,3,,4,1,,,,,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,5,2,54,5,19,Calle 13,Pequeña,1,Comercio,0,1,3.1666666666666665,1
1055,2,15.0,,29/10/2024 3:32:02 p. m.,2,1,1.0,1.0,,0,0,100,0,0,2,2,2,4,3,3,2,2,3,2,2,2,3.0,5,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,4,4,4,2,43,4,15,Primera Línea Metro,Micro,1,Comercio,1,0,2.4166666666666665,0
1056,1,,19.0,29/10/2024 3:40:07 p. m.,2,4,1.0,1.0,1.0,0,100,0,0,0,1,4,5,3,1,1,1,4,4,2,1,5,5.0,2,2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5,5,3,2,23,3,19,Calle 13,Grande,0,Comercio,1,1,2.6666666666666665,1
1057,2,15.0,,29/10/2024 3:35:30 p. m.,2,1,1.0,1.0,1.0,100,0,0,0,0,4,3,4,4,3,4,3,2,3,3,2,3,4.0,5,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,5,1,4,2,18,3,15,Primera Línea Metro,Micro,1,Comercio,0,1,3.1666666666666665,0
1058,2,1.0,,29/10/2024 1:44:56 p. m.,3,1,2.0,1.0,1.0,100,0,0,0,0,1,1,3,3,2,3,1,1,1,1,1,1,,4,2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,1,1,2,43,2,1,Primera Línea Metro,Micro,1,Servicio,1,1,1.5833333333333333,1
1059,2,15.0,,29/10/2024 3:53:20 p. m.,2,2,5.0,4.0,1.0,0,0,100,0,0,1,4,4,1,1,2,3,1,1,1,1,5,5.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,40,4,15,Primera Línea Metro,Pequeña,1,Comercio,1,1,2.0833333333333335,0
1060,1,,19.0,29/10/2024 3:57:55 p. m.,2,2,8.0,3.0,1.0,0,40,30,0,30,2,2,4,2,4,2,1,3,4,5,2,3,,5,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,1,1,2,26,3,19,Calle 13,Pequeña,1,Comercio,1,0,2.8333333333333335,1
1061,2,15.0,,29/10/2024 4:04:24 p. m.,3,3,1.0,,,0,0,50,50,0,1,2,4,3,3,3,4,1,4,5,1,3,3.0,5,3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5,5,5,1,38,4,15,Primera Línea Metro,Mediana,1,Servicio,0,1,2.8333333333333335,0
1062,1,,19.0,29/10/2024 4:17:39 p. m.,2,4,4.0,4.0,,0,0,100,0,0,1,1,5,3,5,1,3,1,5,5,3,5,1.0,4,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2,41,4,19,Calle 13,Grande,0,Comercio,1,1,3.1666666666666665,1
1063,2,15.0,,29/10/2024 4:22:32 p. m.,2,2,2.0,1.0,1.0,50,0,50,0,0,2,3,2,2,3,3,3,3,2,1,3,3,5.0,3,3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,2,3,1,38,5,15,Primera Línea Metro,Pequeña,1,Comercio,0,0,2.5,0
1064,2,1.0,,29/10/2024 4:20:07 p. m.,2,1,1.0,1.0,,100,0,0,0,0,1,5,5,5,1,1,1,1,5,1,1,1,3.0,5,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,2,65,2,1,Primera Línea Metro,Micro,1,Comercio,0,0,2.3333333333333335,1
1065,1,,19.0,29/10/2024 4:30:12 p. m.,2,3,3.0,2.0,,0,50,50,0,0,1,2,4,1,1,2,1,3,3,1,2,3,,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,2,25,3,19,Calle 13,Mediana,1,Comercio,0,1,2.0,1
1066,2,15.0,,29/10/2024 4:21:44 p. m.,2,1,1.0,1.0,1.0,0,0,50,50,0,1,2,1,1,1,2,1,1,1,2,2,1,5.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,51,5,15,Primera Línea Metro,Micro,1,Comercio,1,0,1.3333333333333333,0
1067,1,,19.0,29/10/2024 4:45:46 p. m.,2,3,2.0,2.0,1.0,0,0,100,0,0,2,3,3,1,3,2,4,2,5,1,3,3,5.0,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,1,1,2,31,4,19,Calle 13,Mediana,1,Comercio,0,1,2.6666666666666665,1
1068,1,,19.0,29/10/2024 4:59:03 p. m.,2,3,5.0,3.0,3.0,0,0,100,0,0,1,2,3,4,2,3,1,3,3,3,4,1,,5,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,5,1,1,1,44,4,19,Calle 13,Mediana,1,Comercio,1,0,2.5,1
1069,1,,19.0,29/10/2024 5:13:39 p. m.,2,3,13.0,6.0,4.0,0,0,60,0,40,4,5,5,5,5,3,3,3,5,5,1,5,5.0,4,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5,1,5,1,25,4,19,Calle 13,Mediana,1,Comercio,0,1,4.083333333333333,1
1070,2,15.0,,29/10/2024 5:20:53 p. m.,2,1,4.0,2.0,1.0,25,0,75,0,0,1,1,2,3,3,1,1,1,3,2,1,3,2.0,5,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,1,1,1,31,5,15,Primera Línea Metro,Micro,1,Comercio,1,1,1.8333333333333333,0
1071,1,,19.0,29/10/2024 5:34:32 p. m.,2,2,2.0,1.0,,0,0,100,0,0,1,1,3,1,3,1,3,3,3,3,1,5,5.0,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,5,5,1,59,3,19,Calle 13,Pequeña,1,Comercio,0,0,2.3333333333333335,1
1072,2,15.0,,29/10/2024 5:19:27 p. m.,3,1,1.0,1.0,1.0,0,0,100,0,0,2,3,4,4,2,4,4,1,1,4,3,3,5.0,5,3,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,60,2,15,Primera Línea Metro,Micro,1,Servicio,0,0,2.9166666666666665,0
1073,2,15.0,,29/10/2024 5:21:19 p. m.,1,1,2.0,1.0,1.0,100,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5.0,5,2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,5,2,38,4,15,Primera Línea Metro,Micro,1,Industria,1,1,1.3333333333333333,0
1074,2,15.0,,29/10/2024 5:52:31 p. m.,3,1,2.0,2.0,,50,0,50,0,0,1,3,3,3,3,1,1,2,1,1,3,3,3.0,5,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,2,36,5,15,Primera Línea Metro,Micro,1,Servicio,0,0,2.0833333333333335,0
1075,2,1.0,,30/10/2024 8:57:25 a. m.,2,2,1.0,1.0,,0,100,0,0,0,4,5,4,4,4,5,1,1,5,3,5,3,4.0,5,3,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,1,1,2,47,3,1,Primera Línea Metro,Pequeña,1,Comercio,0,0,3.6666666666666665,1
1076,2,1.0,,30/10/2024 9:08:58 a. m.,3,1,1.0,1.0,,0,100,0,0,0,4,1,2,1,3,3,1,1,1,1,5,1,1.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,2,59,5,1,Primera Línea Metro,Micro,1,Servicio,1,1,2.0,1
1077,2,1.0,,30/10/2024 8:58:13 a. m.,2,3,4.0,2.0,,0,80,20,0,0,3,2,1,3,1,2,1,1,1,3,5,5,5.0,3,2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,3,5,5,1,47,1,1,Primera Línea Metro,Mediana,1,Comercio,1,0,2.3333333333333335,1
1078,2,1.0,,30/10/2024 9:57:32 a. m.,2,2,2.0,,,100,0,0,0,0,1,5,1,5,1,1,1,1,1,5,4,5,5.0,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,4,1,46,2,1,Primera Línea Metro,Pequeña,1,Comercio,0,1,2.5833333333333335,1
1079,2,1.0,,30/10/2024 10:05:57 a. m.,2,1,2.0,1.0,,100,0,0,0,0,1,3,3,1,5,3,1,4,2,4,3,5,3.0,2,3,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,4,4,1,26,4,1,Primera Línea Metro,Micro,1,Comercio,0,0,2.9166666666666665,1
1080,2,1.0,,30/10/2024 10:10:33 a. m.,2,1,1.0,1.0,,100,0,0,0,0,5,1,2,4,3,4,1,1,4,1,3,3,5.0,2,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4,5,1,2,75,2,1,Primera Línea Metro,Micro,1,Comercio,0,0,2.6666666666666665,1
1081,1,,19.0,30/10/2024 10:44:43 a. m.,2,3,6.0,3.0,2.0,0,10,90,0,0,2,3,3,3,3,2,1,2,3,2,1,3,3.0,5,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,5,5,5,2,27,5,19,Calle 13,Mediana,1,Comercio,1,1,2.3333333333333335,1
1082,2,1.0,,30/10/2024 10:38:37 a. m.,3,1,1.0,1.0,,100,0,0,0,0,2,5,1,1,3,5,2,1,1,3,5,1,5.0,5,3,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,5,1,1,2,32,3,1,Primera Línea Metro,Micro,1,Servicio,0,1,2.5,1
1083,1,,19.0,30/10/2024 10:48:04 a. m.,2,3,4.0,1.0,,0,10,50,0,40,1,1,3,3,2,3,2,2,5,4,1,2,5.0,5,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,1,5,1,32,5,19,Calle 13,Mediana,1,Comercio,1,0,2.4166666666666665,1
1084,1,,19.0,30/10/2024 11:29:05 a. m.,2,1,2.0,1.0,,0,0,100,0,0,1,3,5,4,4,3,1,3,4,4,1,4,5.0,3,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,5,5,2,26,4,19,Calle 13,Micro,1,Comercio,1,1,3.0833333333333335,1
1085,2,1.0,,30/10/2024 11:37:38 a. m.,2,2,1.0,1.0,,100,0,0,0,0,1,1,5,5,5,1,1,5,1,5,5,1,1.0,5,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,2,25,5,1,Primera Línea Metro,Pequeña,1,Comercio,1,1,3.0,1
1086,2,1.0,,30/10/2024 11:29:47 a. m.,2,2,2.0,1.0,,0,0,0,0,100,5,5,5,5,3,4,5,5,1,5,5,5,5.0,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,65,2,1,Primera Línea Metro,Pequeña,1,Comercio,0,0,4.416666666666667,1
1087,2,1.0,,30/10/2024 11:08:47 a. m.,2,3,1.0,1.0,,100,0,0,0,0,1,1,5,5,5,1,1,2,1,5,3,5,5.0,4,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,5,2,42,3,1,Primera Línea Metro,Mediana,1,Comercio,0,0,2.9166666666666665,1
1088,2,1.0,,30/10/2024 11:38:48 a. m.,2,2,3.0,1.0,1.0,40,20,40,0,0,5,1,5,5,1,3,3,1,1,5,3,5,5.0,5,3,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,5,1,5,1,30,3,1,Primera Línea Metro,Pequeña,1,Comercio,0,0,3.1666666666666665,1
1089,1,,19.0,30/10/2024 11:11:47 a. m.,2,2,1.0,1.0,,100,0,0,0,0,1,2,3,2,3,2,2,1,3,3,1,3,,4,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,3,3,2,35,4,19,Calle 13,Pequeña,1,Comercio,0,0,2.1666666666666665,1
1090,2,1.0,,30/10/2024 1:59:25 p. m.,2,2,2.0,1.0,1.0,50,50,0,0,0,1,5,5,1,5,5,3,1,5,5,5,5,4.0,1,3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,2,23,3,1,Primera Línea Metro,Pequeña,1,Comercio,0,0,3.8333333333333335,1
1091,2,1.0,,30/10/2024 2:01:15 p. m.,3,1,2.0,1.0,1.0,100,0,0,0,0,1,1,5,5,1,1,1,1,1,1,1,3,5.0,3,3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,5,5,5,2,28,3,1,Primera Línea Metro,Micro,1,Servicio,0,1,1.8333333333333333,1
1092,2,1.0,,30/10/2024 2:09:37 p. m.,2,2,2.0,1.0,1.0,50,50,0,0,0,1,4,3,3,2,1,2,1,2,1,1,4,3.0,5,3,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,5,2,20,4,1,Primera Línea Metro,Pequeña,1,Comercio,0,0,2.0833333333333335,1
1093,2,1.0,,30/10/2024 1:58:31 p. m.,1,2,1.0,,,0,50,0,0,50,3,3,5,4,3,3,3,1,1,1,1,4,3.0,3,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,3,3,1,1,53,4,1,Primera Línea Metro,Pequeña,1,Industria,0,0,2.6666666666666665,1
1094,1,,19.0,30/10/2024 2:04:27 p. m.,3,4,10.0,5.0,2.0,0,10,50,0,40,3,3,2,3,3,2,3,3,3,3,3,3,,3,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,1,2,2,26,5,19,Calle 13,Grande,0,Servicio,0,0,2.8333333333333335,1
1095,1,,19.0,30/10/2024 2:33:59 p. m.,3,2,1.0,1.0,1.0,0,0,100,0,0,3,1,5,4,3,4,5,4,4,2,2,4,4.0,5,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,5,5,5,2,20,3,19,Calle 13,Pequeña,1,Servicio,1,1,3.4166666666666665,1
1096,2,1.0,,30/10/2024 2:44:36 p. m.,92,1,3.0,2.0,,0,0,100,0,0,1,1,3,3,3,3,3,2,1,5,1,4,4.0,5,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,56,3,1,Primera Línea Metro,Micro,1,,0,1,2.5,1
1097,2,1.0,,30/10/2024 2:46:10 p. m.,2,2,1.0,1.0,,0,100,0,0,0,1,1,5,4,4,1,1,1,1,4,1,2,5.0,5,3,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,1,2,31,3,1,Primera Línea Metro,Pequeña,1,Comercio,0,1,2.1666666666666665,1
1098,1,,19.0,30/10/2024 2:46:22 p. m.,2,2,2.0,2.0,,100,0,0,0,0,4,3,4,3,4,2,3,1,3,4,3,3,,3,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,2,33,5,19,Calle 13,Pequeña,1,Comercio,1,1,3.0833333333333335,1
1099,2,1.0,,30/10/2024 3:17:08 p. m.,2,2,1.0,1.0,,100,0,0,0,0,1,1,5,1,3,5,1,1,1,5,5,3,4.0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,5,5,5,2,51,4,1,Primera Línea Metro,Pequeña,1,Comercio,0,1,2.6666666666666665,1
1100,2,1.0,,30/10/2024 3:20:17 p. m.,2,2,3.0,2.0,3.0,100,0,0,0,0,5,2,2,2,5,2,5,2,2,5,2,2,5.0,2,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,1,1,2,21,3,1,Primera Línea Metro,Pequeña,1,Comercio,0,0,3.0,1
1101,2,1.0,,30/10/2024 3:38:57 p. m.,2,2,1.0,2.0,2.0,50,0,0,0,50,1,1,5,3,3,3,1,1,1,1,5,4,4.0,4,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,2,18,3,1,Primera Línea Metro,Pequeña,1,Comercio,0,0,2.4166666666666665,1
1102,2,1.0,,30/10/2024 2:54:01 p. m.,2,2,1.0,1.0,,20,0,80,0,0,2,1,1,3,3,2,1,1,1,5,2,4,3.0,4,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4,4,4,2,53,2,1,Primera Línea Metro,Pequeña,1,Comercio,0,1,2.1666666666666665,1
1103,2,15.0,,30/10/2024 3:22:48 p. m.,2,1,1.0,1.0,,0,0,0,100,0,2,2,2,3,1,2,3,1,3,2,1,3,4.0,4,3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,3,4,2,45,5,15,Primera Línea Metro,Micro,1,Comercio,0,0,2.0833333333333335,0
1104,2,15.0,,30/10/2024 3:52:41 p. m.,2,1,2.0,2.0,1.0,50,0,50,0,0,4,1,4,1,1,2,1,2,4,2,2,3,5.0,5,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,2,34,5,15,Primera Línea Metro,Micro,1,Comercio,1,1,2.25,0
1105,1,,19.0,30/10/2024 3:53:07 p. m.,2,2,4.0,2.0,2.0,0,0,10,0,90,1,1,1,1,5,1,1,1,2,1,1,1,,5,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,2,18,5,19,Calle 13,Pequeña,1,Comercio,1,0,1.4166666666666667,1
1106,2,15.0,,30/10/2024 3:52:36 p. m.,2,1,1.0,1.0,1.0,30,0,70,0,0,2,3,3,3,3,4,3,2,4,2,2,4,3.0,4,2,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,2,3,2,26,3,15,Primera Línea Metro,Micro,1,Comercio,1,0,2.9166666666666665,0
1107,1,,19.0,30/10/2024 3:54:02 p. m.,3,2,11.0,3.0,2.0,10,30,10,10,40,4,2,4,2,4,4,3,2,3,4,2,4,3.0,3,3,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2,40,5,19,Calle 13,Pequeña,1,Servicio,0,1,3.1666666666666665,1
1108,2,1.0,,30/10/2024 4:05:35 p. m.,3,2,1.0,,,100,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,4.0,1,1,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,37,2,1,Primera Línea Metro,Pequeña,1,Servicio,0,0,4.666666666666667,1
